date,drivers,front,rear,total
19790801,0.085,0.051,0.025,0.161
19790901,0.096,0.049,0.026,0.171
19791001,0.098,0.045,0.022,0.165
19791101,0.131,0.057,0.026,0.214
19791201,0.146,0.071,0.031,0.247
19800101,0.119,0.053,0.022,0.194
19800201,0.094,0.041,0.018,0.153
19800301,0.093,0.045,0.02,0.158
19800401,0.082,0.039,0.019,0.14
19800501,0.08,0.042,0.023,0.146
19800601,0.087,0.047,0.023,0.156
19800701,0.08,0.044,0.022,0.146
19800801,0.08,0.046,0.024,0.15
19800901,0.086,0.045,0.021,0.152
19801001,0.102,0.048,0.021,0.171
19801101,0.108,0.051,0.024,0.183
19801201,0.123,0.058,0.025,0.206
19810101,0.097,0.046,0.019,0.162
19810201,0.098,0.046,0.021,0.165
19810301,0.092,0.041,0.019,0.151
19810401,0.083,0.042,0.021,0.147
19810501,0.084,0.045,0.021,0.15
19810601,0.079,0.042,0.022,0.143
19810701,0.088,0.047,0.023,0.158
19810801,0.078,0.043,0.026,0.146
19810901,0.094,0.046,0.024,0.163
19811001,0.108,0.053,0.027,0.187
19811101,0.113,0.047,0.022,0.183
19811201,0.127,0.061,0.026,0.214
19820101,0.107,0.044,0.017,0.168
19820201,0.092,0.043,0.018,0.153
19820301,0.084,0.038,0.019,0.141
19820401,0.075,0.037,0.019,0.132
19820501,0.08,0.041,0.022,0.143
19820601,0.083,0.043,0.022,0.148
19820701,0.072,0.042,0.024,0.138
19820801,0.08,0.044,0.025,0.15
19820901,0.084,0.042,0.021,0.147
19821001,0.099,0.051,0.025,0.175
19821101,0.119,0.049,0.023,0.191
19821201,0.126,0.055,0.025,0.205
19830101,0.092,0.038,0.017,0.147
19830201,0.068,0.027,0.019,0.115
19830301,0.067,0.026,0.017,0.11
19830401,0.066,0.031,0.022,0.119
19830501,0.064,0.029,0.021,0.114
19830601,0.056,0.025,0.018,0.099
19830701,0.056,0.028,0.023,0.107
19830801,0.055,0.03,0.02,0.105
19830901,0.076,0.033,0.026,0.135
19831001,0.077,0.034,0.024,0.136
19831101,0.085,0.03,0.021,0.135
19831201,0.091,0.035,0.021,0.147
19840101,0.084,0.03,0.018,0.132
19840201,0.07,0.026,0.019,0.115
19840301,0.069,0.028,0.019,0.116
19840401,0.056,0.028,0.019,0.103
19840501,0.066,0.03,0.023,0.119
19840601,0.059,0.026,0.023,0.109
19840701,0.057,0.028,0.022,0.107
19840801,0.059,0.03,0.024,0.113
19840901,0.072,0.032,0.021,0.125
19841001,0.079,0.032,0.02,0.132
19841101,0.094,0.038,0.026,0.158
19841201,0.097,0.04,0.027,0.164
